Line,Times_late
189,265
116,243
190,232
141,194
180,153
166,113
185,101
503,97
213,93
523,91
178,89
112,87
167,78
168,78
517,73
131,63
521,63
220,62
138,62
119,59
136,59
148,59
127,58
152,56
147,54
188,53
114,51
520,50
158,50
122,50
145,49
175,46
177,45
135,43
171,43
111,42
504,42
522,40
715,39
222,37
519,37
164,37
107,36
218,35
151,35
120,33
128,32
115,31
743,31
162,31
123,28
179,28
154,27
191,26
129,26
245,26
719,25
502,24
134,24
106,24
207,22
194,22
156,21
263,21
723,21
527,20
217,20
172,19
717,18
709,18
509,17
159,16
184,16
211,16
250,16
713,16
105,13
722,13
157,13
729,13
228,12
193,12
240,12
212,12
714,12
160,12
200,11
710,11
731,10
170,10
738,10
169,9
727,8
142,8
146,8
705,7
716,7
140,7
192,7
721,7
518,6
181,6
737,6
L36,6
L25,6
149,5
L22,5
255,5
187,5
514,5
L39,4
739,4
174,4
108,4
186,4
204,4
110,3
117,3
125,3
L-5,2
226,2
197,2
507,2
511,2
132,2
203,2
173,2
126,1
199,1
249,1
102,1
525,1
516,1
L24,1
182,1
L40,1
712,1
103,1
