Line,Times_exceeded
523,232
502,190
186,190
509,189
189,182
112,174
518,162
709,129
738,115
735,114
143,112
148,110
728,108
141,104
134,102
514,100
525,99
727,98
146,98
705,97
190,92
132,89
719,86
733,85
517,84
511,84
119,84
185,84
114,83
750,82
521,82
168,81
717,80
519,77
520,77
220,76
409,75
704,74
713,70
739,69
504,68
731,67
503,66
188,64
710,64
500,64
166,62
187,61
139,61
122,60
180,60
145,59
105,58
743,58
512,57
263,56
173,55
L25,54
116,54
213,54
L18,54
156,53
120,52
737,51
516,51
136,51
164,50
715,50
210,49
115,48
702,48
151,48
182,47
160,46
154,45
177,44
L-8,44
138,43
178,43
147,41
707,40
720,39
127,38
158,38
167,38
199,38
107,38
125,38
142,37
191,37
251,37
723,37
175,34
200,32
703,32
181,32
217,31
123,31
140,30
207,30
162,30
184,30
226,29
194,28
711,27
124,27
126,27
211,27
152,26
736,26
522,25
250,25
L22,24
121,24
111,23
742,22
176,22
L-2,22
172,22
171,22
150,21
326,21
706,21
716,20
108,20
L37,20
133,20
264,20
228,19
201,19
161,18
183,18
157,18
198,18
527,17
507,17
193,17
129,16
117,16
L-1,16
174,16
L49,16
209,15
721,15
722,14
197,14
128,14
159,14
212,14
245,14
714,13
196,13
169,13
103,13
712,13
724,13
131,12
L40,12
165,11
Z12,11
L16,11
730,11
255,10
179,10
104,9
153,9
234,8
L-5,8
219,7
249,7
240,6
L52,6
192,6
L33,5
222,5
110,5
218,5
Z26,4
203,4
118,4
102,4
729,3
204,3
106,3
202,3
256,3
208,3
170,3
135,3
149,3
239,2
L43,1
L35,1
L36,1
L32,1
900,1
221,1
